Feedback_ID,Patient_ID,Employee_ID,rating,Comments,Created_On
39,510,154,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,7/31/23
40,696,209,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/11/01
41,824,111,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,9/1/12
42,281,138,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/12/13
43,141,270,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,3/25/08
44,216,232,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/14/02
45,173,58,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,6/23/05
46,978,298,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,3/8/11
47,779,108,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",2/8/18
48,910,107,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/29/01
49,423,59,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",3/20/13
50,36,82,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/6/19
51,579,215,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/22/06
52,198,12,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,1/19/14
53,234,68,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/2/05
54,716,186,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,10/30/13
55,877,146,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,12/28/13
56,920,160,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,1/26/15
57,4,176,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,1/26/20
58,730,219,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/1/22
59,774,19,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,3/1/20
60,328,121,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,8/16/08
61,511,169,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/25/10
62,523,79,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,2/10/21
63,439,246,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/30/17
64,874,265,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,2/12/25
65,902,269,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/28/11
66,12,206,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",7/26/02
67,955,91,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/29/05
68,507,283,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/11/03
69,756,46,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/21/20
70,139,220,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,1/7/03
71,996,238,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/4/15
72,271,260,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,5/25/05
73,736,213,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,4/13/21
74,871,125,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,12/11/04
75,745,240,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",7/23/06
76,394,210,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/23/23
77,319,124,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/26/21
78,973,54,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,9/13/07
79,900,243,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,12/9/21
80,999,143,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/3/01
81,451,242,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",11/19/21
82,455,278,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/12/21
83,340,4,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/12/24
84,897,109,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/13/03
85,776,181,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/25/13
86,913,216,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,5/27/06
87,293,223,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/13/22
88,162,28,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,2/22/11
89,905,108,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,4/19/04
90,49,12,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/12/04
91,245,276,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/9/12
92,409,80,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,12/9/07
93,649,48,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,7/4/07
94,12,32,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,12/11/08
95,381,203,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,5/14/16
96,627,110,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,12/31/13
97,966,38,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/7/01
98,849,158,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,3/9/18
99,92,45,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/17/05
100,634,70,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,6/7/24
101,203,225,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/29/08
102,338,62,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,4/13/18
103,340,48,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/29/17
104,70,17,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",6/1/12
105,574,91,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/2/01
106,709,130,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/25/15
107,283,211,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,9/24/06
108,646,125,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",10/30/12
109,19,276,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,3/24/21
110,794,4,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,8/21/18
111,399,283,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/30/21
112,237,61,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,6/16/08
113,763,59,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,5/9/05
114,423,80,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,1/7/08
115,740,44,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/29/19
116,104,201,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,9/27/12
117,628,233,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/5/24
118,971,34,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,7/19/05
119,113,148,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",9/11/00
120,267,163,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,9/12/14
121,425,92,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,1/16/23
122,308,50,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,6/4/16
123,262,55,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/26/11
124,213,76,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/22/16
125,809,94,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,6/23/22
126,199,89,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,3/5/17
127,641,17,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,1/15/04
128,164,165,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,12/28/21
129,115,87,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,12/10/05
130,70,260,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",12/10/09
131,916,128,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/10/11
132,976,261,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/13/20
133,541,19,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,8/25/15
134,872,276,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,9/28/21
135,858,278,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,8/11/00
136,326,160,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,8/18/16
137,75,52,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/17/12
138,938,57,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,12/29/18
139,987,49,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",9/21/15
140,532,156,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/22/24
141,195,199,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/16/22
142,491,18,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/10/21
143,307,25,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/18/20
144,349,67,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",6/21/22
145,418,9,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",4/27/11
146,406,41,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,7/7/05
147,920,274,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,12/1/11
148,533,298,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,12/11/21
149,170,176,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,1/20/01
150,956,38,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,5/12/15
151,972,125,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/27/08
152,240,239,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,5/18/11
153,788,252,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,7/11/11
154,244,23,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/9/04
155,343,290,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,5/20/01
156,137,237,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/18/10
157,372,123,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/23/00
158,791,299,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,2/14/15
159,898,19,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,8/4/02
160,623,103,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,11/1/00
161,904,120,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",11/27/04
162,589,21,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,10/4/01
163,916,73,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/13/00
164,766,119,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,8/16/21
165,780,63,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,12/23/18
166,652,124,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,8/10/10
167,935,25,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/7/21
168,197,150,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,3/4/13
169,354,56,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,1/14/23
170,498,14,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,1/20/15
171,608,263,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/14/23
172,696,77,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,5/7/16
173,413,72,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,4/9/00
174,875,157,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,4/6/21
175,231,260,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",3/26/18
176,80,116,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,6/8/00
177,256,94,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",8/3/03
178,691,2,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/7/13
179,903,182,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,6/9/24
180,834,248,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/14/05
181,504,46,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/20/18
182,990,142,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,5/4/23
183,219,30,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,7/6/14
184,879,41,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,12/10/11
185,44,224,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",10/20/24
186,449,17,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,7/12/12
187,258,204,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,4/7/19
188,838,8,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/22/05
189,697,18,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,12/29/07
190,559,292,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,9/2/11
191,170,244,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,1/30/02
192,467,68,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,7/4/20
193,519,198,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/4/17
194,402,69,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",3/13/13
195,979,160,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,4/5/00
196,162,58,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,5/6/13
197,900,64,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",8/11/14
198,438,188,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,12/27/03
199,268,153,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",12/11/22
200,695,77,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,2/12/04
201,160,109,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,2/6/15
202,290,110,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,9/27/16
203,978,201,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,8/17/08
204,354,236,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",9/25/14
205,572,264,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,4/17/19
206,257,3,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/31/11
207,195,117,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",1/30/06
208,245,137,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/13/20
209,69,193,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,4/16/18
210,452,115,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,11/25/17
211,89,149,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,11/25/12
212,704,135,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",12/12/08
213,987,180,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,6/13/12
214,736,107,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,10/20/16
215,534,22,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,2/12/25
216,311,26,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,7/29/12
217,306,182,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,7/16/15
218,474,122,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,6/7/00
219,652,257,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,1/26/10
220,259,101,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/19/07
221,321,275,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/15/01
222,685,264,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",6/22/17
223,778,186,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,8/30/06
224,697,185,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",11/6/17
225,660,230,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,4/10/23
226,934,188,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",9/19/18
227,238,80,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",4/19/11
228,40,121,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,3/22/08
229,658,9,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/2/16
230,279,22,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/18/20
231,85,196,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/13/16
232,429,272,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,12/10/07
233,760,15,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,4/26/14
234,638,222,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/13/17
235,359,271,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/9/13
236,805,215,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,12/28/04
237,282,258,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/9/15
238,835,33,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,5/11/04
239,945,81,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",5/3/18
240,747,110,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,3/17/03
241,368,253,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",2/26/19
242,256,255,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,4/9/18
243,860,248,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,7/9/02
244,41,225,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",12/30/16
245,844,75,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,2/20/09
246,873,155,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,9/5/18
247,231,233,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,1/1/25
248,751,166,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/3/20
249,158,151,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,6/19/23
250,186,139,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,9/13/01
251,303,42,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",6/9/11
252,469,245,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,4/26/03
253,51,110,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,5/6/00
254,16,135,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,4/9/16
255,45,112,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,8/29/17
256,8,170,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",4/17/04
257,587,248,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",9/4/04
258,360,48,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,3/20/07
259,772,69,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,8/23/23
260,593,134,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",4/30/00
261,54,89,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",10/18/19
262,139,141,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,8/12/16
263,727,217,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,12/15/06
264,50,171,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",12/4/17
265,866,15,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,2/1/11
266,853,209,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,9/11/07
267,929,277,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/16/11
268,952,142,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",10/6/14
269,137,103,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/19/22
270,586,223,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,10/9/03
271,634,200,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/15/03
272,56,37,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,3/22/21
273,252,242,2,The experience fell short. The doctor appeared rushed and the nurse was not as responsive as needed.,10/2/04
274,426,190,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,11/26/16
275,888,87,1,I was very disappointed with my visit. The doctor seemed inattentive and the nurse did not offer proper care.,3/2/09
276,779,123,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,5/19/10
277,483,113,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,6/1/05
278,980,19,5,"I am extremely pleased with the care received. The doctor was thorough and empathetic, and the nurse was exceptionally supportive.",3/22/15
279,701,58,4,I am satisfied with the care. The doctor was attentive and the nurse showed genuine concern for my well-being.,4/19/09
280,406,232,3,My care was acceptable but could be improved. Both the doctor and nurse provided average attention.,10/26/00
